title,description,expiry,brand,link
"TRC Blaze SWxP Sneakers
Puma Black-Orange Brick",Extra 15% off at checkout,,PUMA,https://in.puma.com/in/en/pd/trc-blaze-swxp-sneakers/387510?swatch=02
"Mayze Stack Women's Sneakers
PUMA White-Royal Sapphire",Extra 15% off at checkout,,PUMA,https://in.puma.com/in/en/pd/mayze-stack-womens-sneakers/384363?swatch=13
"BETTER CLASSICS Hoodie
Espresso Brown",Extra 15% off at checkout,,PUMA,https://in.puma.com/in/en/pd/better-classics-hoodie/624241?swatch=65
"Classics Women's Short Tights
Pale Plum",Extra 15% off at checkout,,PUMA,https://in.puma.com/in/en/pd/classics-womens-short-tights/530234?swatch=30
"BETTER CLASSICS Hoodie
Cold Green",Extra 15% off at checkout,,PUMA,https://in.puma.com/in/en/pd/better-classics-hoodie/624241?swatch=75
"Wild Rider Rollin' Sneakers
Ebony-Puma White",Extra 15% off at checkout,,PUMA,https://in.puma.com/in/en/pd/wild-rider-rollin-sneakers/381517?swatch=04
"Iconic T7 Slim Fit Men's Track Pants
Puma Black",Extra 15% off at checkout,,PUMA,https://in.puma.com/in/en/pd/iconic-t7-slim-fit-mens-track-pants/530098?swatch=01
"BETTER CLASSICS Hoodie
PUMA Black",Extra 15% off at checkout,,PUMA,https://in.puma.com/in/en/pd/better-classics-hoodie/624241?swatch=01
"Iconic T7 Men's Track Jacket
High Risk Red",Extra 15% off at checkout,,PUMA,https://in.puma.com/in/en/pd/iconic-t7-mens-track-jacket/530094?swatch=11
"Slipstream Leather Sneakers
Puma White-Puma White",Extra 15% off at checkout,,PUMA,https://in.puma.com/in/en/pd/slipstream-leather-sneakers/387544?swatch=02
"Cuff Trend Beanie Women
Icy Blue",Extra 15% off at checkout,,PUMA,https://in.puma.com/in/en/pd/cuff-trend-beanie-women/024056?swatch=04
"Cuff Trend Beanie Women
Hot Heat",Extra 15% off at checkout,,PUMA,https://in.puma.com/in/en/pd/cuff-trend-beanie-women/024056?swatch=05
"Slipstream Leather Sneakers
Puma White-Pumpkin Pie",Extra 15% off at checkout,,PUMA,https://in.puma.com/in/en/pd/slipstream-leather-sneakers/387544?swatch=22
"SWxP Striped Men's Crew-Neck Relaxed Fit Sweatshirt
Lake Blue-AOP",Extra 15% off at checkout,,PUMA,https://in.puma.com/in/en/pd/swxp-striped-mens-crew-neck-relaxed-fit-sweatshirt/535659?swatch=17
"Robust V2 Men's Shoes
Ultra Gray-Yellow Alert",Buy 2 & Get 50% off + Extra 40% Off,,PUMA,https://in.puma.com/in/en/pd/robust-v2-mens-shoes/379979?swatch=03
"Wish Max Men's Running Shoes
Dark Night-Yellow Sizzle",Extra 15% off at checkout,,PUMA,https://in.puma.com/in/en/pd/wish-max-mens-running-shoes/379978?swatch=02
"Futuristic Logo Men's Slim Fit Hoodie
Blazing Blue",Extra 15% off at checkout,,PUMA,https://in.puma.com/in/en/pd/futuristic-logo-mens-slim-fit-hoodie/675326?swatch=16
"Futuristic Logo Men's Slim Fit Hoodie
Varsity Green",Extra 15% off at checkout,,PUMA,https://in.puma.com/in/en/pd/futuristic-logo-mens-slim-fit-hoodie/675326?swatch=24
"Wish Max Men's Running Shoes
PUMA Black-Royal Sapphire",Extra 15% off at checkout,,PUMA,https://in.puma.com/in/en/pd/wish-max-mens-running-shoes/379978?swatch=03
"Robust V2 Men's Shoes
PUMA Navy-Red Dahlia",Buy 2 & Get 50% off + Extra 40% Off,,PUMA,https://in.puma.com/in/en/pd/robust-v2-mens-shoes/379979?swatch=01
"Retaliate 2 Running Shoes
CASTLEROCK-Puma White",Buy 2 & Get 50% off + Extra 40% Off,,PUMA,https://in.puma.com/in/en/pd/retaliate-2-running-shoes/377282?swatch=02
"Flair 2 Running Shoes
Puma Black-High Risk Red",Extra 15% off at checkout,,PUMA,https://in.puma.com/in/en/pd/flair-2-running-shoes/377280?swatch=01
"Retaliate 2 Running Shoes
Puma Black-Puma White",Buy 2 & Get 50% off + Extra 40% Off,,PUMA,https://in.puma.com/in/en/pd/retaliate-2-running-shoes/377282?swatch=01
"TRC Blaze Chance Sneakers
Puma Black-Puma White",Extra 15% off at checkout,,PUMA,https://in.puma.com/in/en/pd/trc-blaze-chance-sneakers/386430?swatch=02
